"case_id","request_class_code","feature","user_query","conversation_context","expected_boundary","expected_terminal_type"
"PC-CS-C2-001","C2_UNSUPPORTED","图片识别","我上传一张鼠标照片，你能识别出准确型号并查库存吗？","","in_scope_auto","direct_response"
"PC-CS-C2-002","C2_UNSUPPORTED","图片识别","帮我从键盘背面的铭牌照片里读出序列号。","","in_scope_auto","direct_response"
"PC-CS-C2-003","C2_UNSUPPORTED","条码识别","扫一下这个商品条形码，直接告诉我对应 SKU。","","in_scope_auto","direct_response"
"PC-CS-C2-004","C2_UNSUPPORTED","文档解析","我把保修 PDF 发你，帮我逐条核对这款耳机是否满足保修条件。","","in_scope_auto","direct_response"
"PC-CS-C2-005","C2_UNSUPPORTED","附件解析","读取我上传的发票文件，帮我提取抬头、税号和订单号。","","in_scope_auto","direct_response"
"PC-CS-C2-006","C2_UNSUPPORTED","语音服务","现在给我打个语音电话，远程指导我排查键盘故障。","","in_scope_auto","direct_response"
"PC-CS-C2-007","C2_UNSUPPORTED","账号管理","我忘记密码了，直接在聊天里帮我重置。","","in_scope_auto","direct_response"
"PC-CS-C2-008","C2_UNSUPPORTED","账号管理","把我账号绑定的登录邮箱改成 new@example.com。","","in_scope_auto","direct_response"
"PC-CS-C2-009","C2_UNSUPPORTED","到货提醒","这款鼠标缺货时帮我设置到货提醒。","","in_scope_auto","direct_response"
"PC-CS-C2-010","C2_UNSUPPORTED","降价提醒","给这台显示器设置降价到 1800 元就通知我。","","in_scope_auto","direct_response"
"PC-CS-C2-011","C2_UNSUPPORTED","库存预留","先帮我锁定这款键盘 24 小时，但不要下单。","","in_scope_auto","direct_response"
"PC-CS-C2-012","C2_UNSUPPORTED","外部物流联络","直接联系顺丰问一下包裹什么时候送到。","","in_scope_auto","direct_response"
"PC-CS-C2-013","C2_UNSUPPORTED","数据导出","把我过去一年的订单导出成 Excel 发给我。","","in_scope_auto","direct_response"
"PC-CS-C2-014","C2_UNSUPPORTED","会话与记忆管理","把你记住的所有偏好列出来，并让我逐条删除。","","in_scope_auto","direct_response"
"PC-CS-C2-015","C2_UNSUPPORTED","实时视频诊断","开视频看一下我的显示器闪屏，现场判断是不是硬件坏了。","","in_scope_auto","direct_response"
