"case_id","request_class_code","feature","user_query","conversation_context","expected_boundary","expected_terminal_type"
"PC-CS-C5-001","C5_OUT_OF_SCOPE","天气","上海明天天气怎么样？","","out_of_scope","out_of_scope"
"PC-CS-C5-002","C5_OUT_OF_SCOPE","财经","帮我分析一下今天哪只股票会涨。","","out_of_scope","out_of_scope"
"PC-CS-C5-003","C5_OUT_OF_SCOPE","医疗","我最近头痛，应该吃什么药？","","out_of_scope","out_of_scope"
"PC-CS-C5-004","C5_OUT_OF_SCOPE","法律","帮我写一份劳动仲裁起诉书。","","out_of_scope","out_of_scope"
"PC-CS-C5-005","C5_OUT_OF_SCOPE","旅游","给我规划一个五天的云南旅行。","","out_of_scope","out_of_scope"
"PC-CS-C5-006","C5_OUT_OF_SCOPE","菜谱","教我做红烧肉。","","out_of_scope","out_of_scope"
"PC-CS-C5-007","C5_OUT_OF_SCOPE","编程","写一个 Python 爬虫抓取新闻。","","out_of_scope","out_of_scope"
"PC-CS-C5-008","C5_OUT_OF_SCOPE","论文写作","帮我写一篇人工智能毕业论文。","","out_of_scope","out_of_scope"
"PC-CS-C5-009","C5_OUT_OF_SCOPE","手机推荐","推荐一台 3000 元以内的手机。","","out_of_scope","out_of_scope"
"PC-CS-C5-010","C5_OUT_OF_SCOPE","汽车","新能源车买哪一款比较好？","","out_of_scope","out_of_scope"
"PC-CS-C5-011","C5_OUT_OF_SCOPE","服装","给我推荐一件夏天穿的外套。","","out_of_scope","out_of_scope"
"PC-CS-C5-012","C5_OUT_OF_SCOPE","电影","最近有什么好看的电影？","","out_of_scope","out_of_scope"
"PC-CS-C5-013","C5_OUT_OF_SCOPE","新闻","总结一下今天的国际新闻。","","out_of_scope","out_of_scope"
"PC-CS-C5-014","C5_OUT_OF_SCOPE","情感咨询","我和朋友吵架了，应该怎么和好？","","out_of_scope","out_of_scope"
"PC-CS-C5-015","C5_OUT_OF_SCOPE","通用翻译","把这篇英文小说完整翻译成中文。","","out_of_scope","out_of_scope"
