"case_id","request_class_code","feature","user_query","conversation_context","expected_boundary","expected_terminal_type"
"PC-CS-C3-001","C3_CLARIFY","商品推荐-缺少约束","给我推荐一个鼠标。","","in_scope_auto","clarification"
"PC-CS-C3-002","C3_CLARIFY","商品推荐-缺少类目","预算 500，想买个性价比高的外设。","","in_scope_auto","clarification"
"PC-CS-C3-003","C3_CLARIFY","商品推荐-只有场景","我想买来打游戏，有什么推荐？","","in_scope_auto","clarification"
"PC-CS-C3-004","C3_CLARIFY","商品推荐-品牌问题过宽","哪个品牌最好？","","in_scope_auto","clarification"
"PC-CS-C3-005","C3_CLARIFY","商品筛选-缺少对象","我需要无线的。","","in_scope_auto","clarification"
"PC-CS-C3-006","C3_CLARIFY","商品指代-无上下文","它支持蓝牙吗？","","in_scope_auto","clarification"
"PC-CS-C3-007","C3_CLARIFY","商品对比-无对象","A 和 B 哪个更适合我？","","in_scope_auto","clarification"
"PC-CS-C3-008","C3_CLARIFY","商品对比-丢失上下文","比较前两个。","新会话，没有上一轮商品候选","in_scope_auto","clarification"
"PC-CS-C3-009","C3_CLARIFY","商品适配-缺少场景","这个规格适合我吗？","","in_scope_auto","clarification"
"PC-CS-C3-010","C3_CLARIFY","订单指代-无上下文","那个订单怎么了？","新会话，没有订单上下文","in_scope_auto","clarification"
"PC-CS-C3-011","C3_CLARIFY","订单号不完整","帮我查订单 2026 的物流。","","in_scope_auto","clarification"
"PC-CS-C3-012","C3_CLARIFY","订单异常-诉求不明","我的订单不对。","","in_scope_auto","clarification"
"PC-CS-C3-013","C3_CLARIFY","售后政策-指代不明","这个能退吗？","新会话，没有商品或订单上下文","in_scope_auto","clarification"
"PC-CS-C3-014","C3_CLARIFY","故障咨询-信息不足","外设有问题怎么办？","","in_scope_auto","clarification"
"PC-CS-C3-015","C3_CLARIFY","请求对象缺失","帮我查一下。","","in_scope_auto","clarification"
