"case_id","request_class_code","feature","user_query","conversation_context","expected_boundary","expected_terminal_type"
"PC-CS-C4-001","C4_HANDOFF","售后办理-退货","订单 202607020001 我要申请退货。","","human_handoff_required","handoff"
"PC-CS-C4-002","C4_HANDOFF","售后办理-退款","商品有问题，帮我把钱退了。","","human_handoff_required","handoff"
"PC-CS-C4-003","C4_HANDOFF","售后办理-换货","这个键盘连击，给我换一个新的。","","human_handoff_required","handoff"
"PC-CS-C4-004","C4_HANDOFF","售后办理-维修","耳机左边没声音，帮我安排维修。","","human_handoff_required","handoff"
"PC-CS-C4-005","C4_HANDOFF","售后办理-创建工单","帮我创建一个售后工单。","","human_handoff_required","handoff"
"PC-CS-C4-006","C4_HANDOFF","订单变更-取消","帮我取消订单 202607020001。","","human_handoff_required","handoff"
"PC-CS-C4-007","C4_HANDOFF","订单变更-地址","订单 202607020001 的收货地址帮我改一下。","","human_handoff_required","handoff"
"PC-CS-C4-008","C4_HANDOFF","物流操作-催发货","我的订单一直没发，帮我催仓库今天发货。","","human_handoff_required","handoff"
"PC-CS-C4-009","C4_HANDOFF","物流操作-补发","包裹少了接收器，马上给我补发一个。","","human_handoff_required","handoff"
"PC-CS-C4-010","C4_HANDOFF","购买操作-代下单","就买刚才第一款鼠标，帮我直接下单。","上一轮已返回鼠标候选","human_handoff_required","handoff"
"PC-CS-C4-011","C4_HANDOFF","支付操作-代支付","帮我支付订单 202607020001。","","human_handoff_required","handoff"
"PC-CS-C4-012","C4_HANDOFF","价保审批","这款显示器降价了，直接给我补 300 元差价。","","human_handoff_required","handoff"
"PC-CS-C4-013","C4_HANDOFF","赔付与责任判断","快递把显示器摔坏了，你确认是商家责任并赔我两倍。","","human_handoff_required","handoff"
"PC-CS-C4-014","C4_HANDOFF","发票变更","已经开的发票抬头错了，帮我重开。","","human_handoff_required","handoff"
"PC-CS-C4-015","C4_HANDOFF","异常物流核实","物流显示签收但我没收到，帮我联系快递处理。","","human_handoff_required","handoff"
