"case_id","request_class_code","feature","user_query","conversation_context","expected_boundary","expected_terminal_type"
"PC-CS-C1-001","C1_COMPLETABLE","商品推荐-预算与类目","推荐一款 300 元以内的无线鼠标，主要打 FPS。","","in_scope_auto","grounded_response"
"PC-CS-C1-002","C1_COMPLETABLE","商品推荐-键盘场景","预算 600，想要安静一点、支持无线的办公键盘。","","in_scope_auto","grounded_response"
"PC-CS-C1-003","C1_COMPLETABLE","商品推荐-耳机场景","给我推荐三款带麦克风、适合长时间开会的耳机。","","in_scope_auto","grounded_response"
"PC-CS-C1-004","C1_COMPLETABLE","商品推荐-显示器场景","2000 元以内有适合 2K 高刷游戏的显示器吗？","","in_scope_auto","grounded_response"
"PC-CS-C1-005","C1_COMPLETABLE","商品推荐-摄像头场景","推荐一个适合直播的 4K 摄像头，最好支持自动对焦。","","in_scope_auto","grounded_response"
"PC-CS-C1-006","C1_COMPLETABLE","商品推荐-音箱场景","桌面空间小，想买一个支持蓝牙的音箱，预算 500。","","in_scope_auto","grounded_response"
"PC-CS-C1-007","C1_COMPLETABLE","商品推荐-品牌筛选","看看 Razer 现在有哪些无线鼠标值得选。","","in_scope_auto","grounded_response"
"PC-CS-C1-008","C1_COMPLETABLE","商品推荐-库存筛选","推荐几款现在有库存的机械键盘。","","in_scope_auto","grounded_response"
"PC-CS-C1-009","C1_COMPLETABLE","商品对比-两款鼠标","对比一下 Logitech G502 和 Razer Viper 的价格、重量、DPI 和连接方式。","","in_scope_auto","grounded_response"
"PC-CS-C1-010","C1_COMPLETABLE","商品对比-键盘","Keychron 和 Wooting 的键盘各找一款对比轴体、配列、价格和库存。","","in_scope_auto","grounded_response"
"PC-CS-C1-011","C1_COMPLETABLE","商品对比-显示器","比较 Dell 和 LG 的 27 英寸显示器，重点看分辨率和刷新率。","","in_scope_auto","grounded_response"
"PC-CS-C1-012","C1_COMPLETABLE","商品对比-耳机","Sony 和 HyperX 的无线耳机哪个价格更低、有没有麦克风？","","in_scope_auto","grounded_response"
"PC-CS-C1-013","C1_COMPLETABLE","商品对比-多候选","把这三款鼠标按价格、库存、销量和 DPI 做个对比。","上一轮已返回三款鼠标候选并保留在同一 conversation_id 中","in_scope_auto","grounded_response"
"PC-CS-C1-014","C1_COMPLETABLE","目录聚合-品牌","你们有哪些鼠标品牌？","","in_scope_auto","grounded_response"
"PC-CS-C1-015","C1_COMPLETABLE","目录聚合-类目","这个商城都卖哪些 PC 外设类型？","","in_scope_auto","grounded_response"
"PC-CS-C1-016","C1_COMPLETABLE","目录聚合-规格选项","键盘都有哪些轴体可选？","","in_scope_auto","grounded_response"
"PC-CS-C1-017","C1_COMPLETABLE","目录聚合-刷新率","显示器目前有哪些刷新率规格？","","in_scope_auto","grounded_response"
"PC-CS-C1-018","C1_COMPLETABLE","商品事实-价格库存","Razer Viper 现在多少钱，还有库存吗？","","in_scope_auto","grounded_response"
"PC-CS-C1-019","C1_COMPLETABLE","商品事实-规格","G502 的 DPI 和连接方式是什么？","","in_scope_auto","grounded_response"
"PC-CS-C1-020","C1_COMPLETABLE","商品事实-销量","当前目录里销量高的无线鼠标有哪些？","","in_scope_auto","grounded_response"
"PC-CS-C1-021","C1_COMPLETABLE","商品事实-空结果","有没有 10 元以内的 4K 240Hz 显示器？","","in_scope_auto","grounded_response"
"PC-CS-C1-022","C1_COMPLETABLE","订单查询-最近订单","帮我查一下最近的订单。","","in_scope_auto","grounded_response"
"PC-CS-C1-023","C1_COMPLETABLE","订单查询-指定订单","查询订单 202607020001 的当前状态。","","in_scope_auto","grounded_response"
"PC-CS-C1-024","C1_COMPLETABLE","物流查询-指定订单","订单 202607020001 发货了吗，快递单号是什么？","","in_scope_auto","grounded_response"
"PC-CS-C1-025","C1_COMPLETABLE","订单查询-订单明细","订单 202607020001 里买了什么，实付多少钱？","","in_scope_auto","grounded_response"
"PC-CS-C1-026","C1_COMPLETABLE","订单查询-无权限或不存在","帮我看订单 209999999999。","","in_scope_auto","grounded_response"
